id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Kamille;Rogahn;Jimmy35@yahoo.com;disintermediate Mali Unbranded Concrete Soap;2019-07-02T22:57:37;11689;43152
2;Trisha;Harris;Moriah.Hartmann16@yahoo.com;HDD Borders reboot;2019-07-02T22:13:59;78859;99769
3;Camryn;Rolfson;Mekhi_Franecki14@gmail.com;salmon;2019-07-02T18:51:05;76245;49398
4;Selmer;Romaguera;Baylee.Schuster@yahoo.com;indexing Rubber;2019-07-03T02:27:14;50228;79729
5;Kamille;Corwin;Daphnee_Jaskolski72@yahoo.com;payment;2019-07-02T19:20:02;56550;54272
6;Michele;Fritsch;Ezequiel95@yahoo.com;front-end Intuitive vortals;2019-07-03T05:04:42;94728;61495
7;Candida;Veum;Broderick61@yahoo.com;Clothing;2019-07-02T15:03:28;59296;93211
8;Bartholome;Maggio;Maurine.Schamberger70@hotmail.com;Cheese Maine;2019-07-02T21:25:39;6892;42413
9;Ari;Rippin;Tracey_Spencer45@gmail.com;Concrete;2019-07-02T12:21:10;16552;83889
10;Chyna;Cassin;Thalia.Harris51@hotmail.com;New Mexico;2019-07-03T02:24:45;37930;5476
